Округ,Знак зодиака,Любимый цвет,Есть работа,Время подъема,Продолжительность сна,К/Ч
МО,Весы,Красный,0,7,8,Ч
СВАО,Близнецы,Синий,0,8,8,Ч
СВАО,Весы,Салатовый,0,10,8,Ч
ВАО,Весы,Синий,1,8,8,Ч
ВАО,Стрелец,Черный,1,8,"6.5",К
МО,Рыбы,Синий,0,8,7,Ч
СЗАО,Овен,Белый,1,12,7,К
САО,Близнецы,Зеленый,0,8,8,Ч
МО,Козерог,Зеленый,0,8,7,Ч
ЮЗАО,Телец,Голубой,1,7,6,К
ЗАО,Стрелец,Индиго,0,10,7,Ч
ЮЗАО,Близнецы,Черный,1,14,6,К
ЮВАО,Стрелец,Черный,1,6,7,К
ЮЗАО,Овен,Зеленый,1,"8.5",7,Ч
ВАО,Телец,Черный,1,"8.5",7,Ч
ЮЗАО,Водолей,Оранжевый,0,11,8,Ч
МО,Дева,Черный,0,14,10,Ч
ЮВАО,Козерог,Зеленый,0,9,8,К
ЮВАО,Весы,Фиолетовый,1,7,8,К
ЮЗАО,Овен,Зеленый,1,"7.5",6,Ч
САО,Близнецы,Розовый,1,8,4,Ч
МО,Лев,Красный,1,9,8,К
